tags:uneCharogne explicationLineaire

A quelle section des <em>Fleurs du mal</em> appartient "Une Chargone" ? ; <strong>"Spleen et Idéal"</strong>
<blockquote>Derrière les rochers une chienne inquiète<br />Nous regardait d’un œil fâché,<br />Épiant le moment de reprendre au squelette<br />Le morceau qu’elle avait lâché.</blockquote>Quel mot souligne dans cette strophe d’ "Une Charogne" la <strong>fragmentation du cadavre</strong> ? ; "le morceau"

<blockquote>Et pourtant vous serez semblable à cette ordure,<br />A cette horrible infection,<br />Étoile de mes yeux, soleil de ma nature,<br />Vous, mon ange et ma passion !</blockquote>Que marque le tiret et l’adversatif " pourtant " dans cette strophe d’ "Une Charogne" ? ; Le retour au dialogue et une <strong>rupture après le récit</strong>.

<blockquote>Et pourtant vous serez semblable à cette ordure,<br />A cette horrible infection,<br />Étoile de mes yeux, soleil de ma nature,<br />Vous, mon ange et ma passion !</blockquote>Quel mouvement poétique du XVIème siècle Baudelaire semble-t-il parodier dans cette strophe d’ "Une Charogne" ? ; <strong>Les poètes de la Pléiade</strong>, notamment à Ronsard ("Ode à Cassandre")

<blockquote>Et pourtant vous serez semblable à cette ordure,<br />A cette horrible infection,<br />Étoile de mes yeux, soleil de ma nature,<br />Vous, mon ange et ma passion !</blockquote>Que marque l’usage du futur " serez " dans ce quatrain d’ "Une Charogne" ? ; Une certitude horrible et ironique

<blockquote>Et pourtant vous serez semblable à cette ordure,<br />A cette horrible infection,<br />Étoile de mes yeux, soleil de ma nature,<br />Vous, mon ange et ma passion !</blockquote>Quel effet provoque la <strong>comparaison</strong> " vous serez semblable à cette ordure / à cette horrible infection " dans ce quatrain d’ "Une Charogne" ? ; La comparaison est inattendue, elle est <strong>provocatrice et horrible</strong>

<blockquote>Et pourtant vous serez semblable à cette ordure,<br />A cette horrible infection,<br />Étoile de mes yeux, soleil de ma nature,<br />Vous, mon ange et ma passion !</blockquote>Quelles sont les <strong>apostrophes pétrarquistes</strong> dans cette strophe d’ "Une Charogne" ? ; <ul><li>" Étoile de mes yeux ",</li><li>" soleil de ma nature ",</li><li>" mon ange, ma passion "</li></ul>

<blockquote>Et pourtant vous serez semblable à cette ordure,<br />A cette horrible infection,<br />Étoile de mes yeux, soleil de ma nature,<br />Vous, mon ange et ma passion !</blockquote>Quel effet provoquent les apostrophes pétrarquistes de cette strophe d’ "Une Charogne" ? ; Elle crée un <strong>contraste avec la représentation gothique de la mort</strong>

<blockquote>Oui ! telle vous serez, ô reine des grâces,<br />Après les derniers sacrements,<br />Quand vous irez, sous l’herbe et les floraisons grasses.<br />Moisir parmi les ossements.</blockquote>Quel effet provoque l’<strong>exclamation</strong> " Oui ! " et la <strong>réitération de la comparaison</strong> " telle vous serez " (futur de certitude) dans cette strophe d’ "Une Charogne" ? ; Cela <strong>confirme la décomposition</strong> future de la femme aimée.

<blockquote>Oui ! telle vous serez, ô reine des grâces,<br />Après les derniers sacrements,<br />Quand vous irez, sous l’herbe et les floraisons grasses.<br />Moisir parmi les ossements.</blockquote>Qu’apporte l’<strong>apostrophe lyrique</strong> " ô la reine des grâces " dans cette strophe d’ "Une Charogne" ? ; Un lyrisme décalé par rapport à ce qui est dit.

<blockquote>Oui ! telle vous serez, ô reine des grâces,<br />Après les derniers sacrements,<br />Quand vous irez, sous l’herbe et les floraisons grasses.<br />Moisir parmi les ossements.</blockquote>Que marquent l’<strong>indicateur spatial</strong> " sous l’herbe et les floraisons grasses " et le <strong>verbe</strong> " moisir " dans cette strophe d’ "Une Charogne" ? ; Cela souligne le fait que <strong>la femme appartiendra à la boue</strong>, mais <strong>sa décomposition nourrira la vie</strong>

<blockquote>Alors, ô ma beauté ! dites à la vermine<br />Qui vous mangera de baisers,<br />Que j’ai gardé la forme et l’essence divine<br />De mes amours décomposés !</blockquote>A quelle expression s’oppose l’<strong>apostrophe lyrique</strong> " ô ma beauté " dans cette strophe d’ "Une Charogne" ? ; Elle s’oppose à l’expression employée au sens propre " à la vermine / qui vous mangera de baisers " (<strong>Amour et mort sont liés</strong>)

<blockquote>Alors, ô ma beauté ! dites à la vermine<br />Qui vous mangera de baisers,<br />Que j’ai gardé la forme et l’essence divine<br />De mes amours décomposés !</blockquote>Quelle fonction Baudelaire attribue-t-il au poète d’après cette strophe d’ "Une Charogne" ? ; Le <strong>Poète</strong><ul><li>appartient domaine du <strong>divin</strong>, de l’or <strong>grâce à la poésie</strong>.</li><li>recompose ce que la mort a décomposé</li><li> <strong>il unit</strong></li><li><strong>fixe la beauté à jamais</strong>.</li></ul>
